user,Subject,text
annita_bowman,Donald Trump, Unraveling Lindsey Graham takes bizarre shot at Trump 
Mystiqu49215835,Donald Trump, The Independent:  airs 80-second supercut of 's racist remarks over the past 30 years.…
GaryRiggsJr,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
GrandmaTayters,Donald Trump, Those who didn't vote in 2016 are showing up early in droves — and more are Democrats. 
666outKast,Donald Trump," Donald trump, Elon musk and Jeff bozos"
Markdugi21,Donald Trump, Lil Wayne has just endorsed Donald Trump.
PAGilchrist,Donald Trump, An American President attacking American democracy in advance of an election has simply never been seen before. But Donald T…
chrisanthony888,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
auggie_dawgy,Donald Trump, Wisconsin voters are already furious at how their state politicians are handling—or not handling—coronavirus. Now they g…
BonusCup918,Donald Trump," We are going up on radio in small, African American communities in Florida – places that neither party pays much attention…"
shrstraker,Donald Trump, Former NFL Quarterback Jay Cutler Shares Jack Nicklaus’ Endorsement Of President Trump 
SanDeDoBee,Donald Trump,"  Donald Trump called Democrats and the media ""the enemy"" from the start.  How do you expect Democrats to view…"
thefreaknlady08,Donald Trump, Those who didn't vote in 2016 are showing up early in droves — and more are Democrats. 
kat_pep_,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
Jacob_the_lier,Donald Trump," ""President Donald Trump has refused to say he’d accept the results of the election in the event that he… "
modderman_rick,Donald Trump, It’s hard to believe that the people who raised us to never be like Donald Trump are the ones supporting Donald Trump.
jeffalford,Donald Trump, David Letterman calling Donald Trump a straight-up racist. In 2012... 
Midnigh88205576,Donald Trump, The same political party that impeached President Donald Trump over a phone call about Joe Biden’s foreign corruption is…
Aringr,Donald Trump," Philly DA Throws Down Over Trump Poll Watchers: We Won't Be Cowed By A 'Despot'. “Break the law here, and I’ve got somet…"
